data,dia_semana,is_fim_de_semana,hora,id_cliente,perfil_cliente,bebida,valor_bebida,acompanhamento,valor_acompanhamento,canal,forma_pagamento,ticket_total
2026-01-10,Saturday,1,18,60,Ocasional,Chá Orgânico,12.0,Sanduíche Caprese,19.0,Balcão,Pix,31.0
2026-01-10,Saturday,1,9,176,Fim de Semana,Mocha Belga,18.0,Cookie Artesanal,9.0,Delivery,Pix,27.0
2026-01-10,Saturday,1,18,88,Ocasional,Chá Orgânico,12.0,Quiche de Alho Poró,18.0,Delivery,Crédito,30.0
2026-01-10,Saturday,1,16,112,Trabalhador,Cold Brew Especial,17.0,Croissant Francês,13.0,Delivery,Débito,30.0
2026-01-10,Saturday,1,16,107,Fim de Semana,Latte Baunilha,16.0,Bolo Red Velvet,15.0,Delivery,Pix,31.0
2026-01-10,Saturday,1,16,187,Ocasional,Cappuccino Italiano,14.0,Cookie Artesanal,9.0,Delivery,Pix,23.0
2026-01-10,Saturday,1,20,162,Trabalhador,Chá Orgânico,12.0,Sanduíche Caprese,19.0,Balcão,Crédito,31.0
2026-01-10,Saturday,1,17,66,Ocasional,Mocha Belga,18.0,Sanduíche Caprese,19.0,Balcão,Pix,37.0
2026-01-10,Saturday,1,15,142,Ocasional,Espresso Premium,9.5,Sanduíche Caprese,19.0,Delivery,Pix,28.5
2026-01-10,Saturday,1,17,52,Ocasional,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Delivery,Débito,32.0
2026-01-10,Saturday,1,11,255,Ocasional,Cappuccino Italiano,14.0,Bolo Red Velvet,15.0,Balcão,Débito,29.0
2026-01-10,Saturday,1,10,192,Fim de Semana,Espresso Premium,9.5,Bolo Red Velvet,15.0,Balcão,Pix,24.5
2026-01-10,Saturday,1,9,211,Trabalhador,Latte Baunilha,16.0,Quiche de Alho Poró,18.0,Delivery,Crédito,34.0
2026-01-10,Saturday,1,10,217,Ocasional,Mocha Belga,18.0,Cookie Artesanal,9.0,Delivery,Crédito,27.0
2026-01-10,Saturday,1,18,87,Ocasional,Cappuccino Italiano,14.0,Bolo Red Velvet,15.0,Delivery,Crédito,29.0
2026-01-10,Saturday,1,7,35,Trabalhador,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Balcão,Débito,33.0
2026-01-10,Saturday,1,19,101,Fim de Semana,Cappuccino Italiano,14.0,Croissant Francês,13.0,Balcão,Pix,27.0
2026-01-10,Saturday,1,11,210,Trabalhador,Cold Brew Especial,17.0,Croissant Francês,13.0,Balcão,Pix,30.0
2026-01-10,Saturday,1,10,77,Trabalhador,Espresso Premium,9.5,Sanduíche Caprese,19.0,Delivery,Pix,28.5
2026-01-10,Saturday,1,16,167,Ocasional,Mocha Belga,18.0,Sanduíche Caprese,19.0,Balcão,Crédito,37.0
2026-01-10,Saturday,1,19,225,Ocasional,Espresso Premium,9.5,Cookie Artesanal,9.0,Balcão,Débito,18.5
2026-01-10,Saturday,1,8,178,Fim de Semana,Mocha Belga,18.0,Cookie Artesanal,9.0,Balcão,Pix,27.0
2026-01-10,Saturday,1,18,218,Trabalhador,Chá Orgânico,12.0,Cookie Artesanal,9.0,Delivery,Pix,21.0
2026-01-10,Saturday,1,11,154,Trabalhador,Mocha Belga,18.0,Cookie Artesanal,9.0,Delivery,Pix,27.0
2026-01-10,Saturday,1,14,226,Trabalhador,Espresso Premium,9.5,Croissant Francês,13.0,Balcão,Crédito,22.5
2026-01-10,Saturday,1,16,52,Ocasional,Cappuccino Italiano,14.0,Torta de Limão Siciliano,16.0,Delivery,Pix,30.0
2026-01-10,Saturday,1,18,127,Ocasional,Mocha Belga,18.0,Cookie Artesanal,9.0,Delivery,Pix,27.0
2026-01-10,Saturday,1,11,133,Fim de Semana,Chá Orgânico,12.0,Bolo Red Velvet,15.0,Balcão,Crédito,27.0
2026-01-10,Saturday,1,13,272,Trabalhador,Latte Baunilha,16.0,Torta de Limão Siciliano,16.0,Delivery,Débito,32.0
2026-01-10,Saturday,1,17,114,Ocasional,Espresso Premium,9.5,Cookie Artesanal,9.0,Balcão,Débito,18.5
2026-01-10,Saturday,1,19,228,Fim de Semana,Espresso Premium,9.5,Sanduíche Caprese,19.0,Balcão,Pix,28.5
2026-01-10,Saturday,1,7,287,Fim de Semana,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Balcão,Crédito,36.0
2026-01-10,Saturday,1,9,266,Trabalhador,Mocha Belga,18.0,Bolo Red Velvet,15.0,Delivery,Crédito,33.0
2026-01-10,Saturday,1,18,232,Trabalhador,Cappuccino Italiano,14.0,Cookie Artesanal,9.0,Delivery,Crédito,23.0
2026-01-10,Saturday,1,17,256,Fim de Semana,Cold Brew Especial,17.0,Croissant Francês,13.0,Balcão,Crédito,30.0
2026-01-10,Saturday,1,12,126,Fim de Semana,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Delivery,Débito,32.0
2026-01-10,Saturday,1,8,101,Trabalhador,Cappuccino Italiano,14.0,Croissant Francês,13.0,Delivery,Pix,27.0
2026-01-10,Saturday,1,9,172,Fim de Semana,Mocha Belga,18.0,Quiche de Alho Poró,18.0,Delivery,Débito,36.0
2026-01-10,Saturday,1,18,137,Ocasional,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Delivery,Pix,32.0
2026-01-10,Saturday,1,18,124,Ocasional,Espresso Premium,9.5,Croissant Francês,13.0,Balcão,Crédito,22.5
2026-01-10,Saturday,1,20,291,Trabalhador,Espresso Premium,9.5,Cookie Artesanal,9.0,Delivery,Pix,18.5
2026-01-10,Saturday,1,15,87,Trabalhador,Latte Baunilha,16.0,Torta de Limão Siciliano,16.0,Delivery,Crédito,32.0
2026-01-10,Saturday,1,13,27,Fim de Semana,Cold Brew Especial,17.0,Cookie Artesanal,9.0,Delivery,Pix,26.0
2026-01-10,Saturday,1,9,234,Fim de Semana,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Delivery,Pix,32.0
2026-01-10,Saturday,1,18,103,Ocasional,Latte Baunilha,16.0,Torta de Limão Siciliano,16.0,Delivery,Crédito,32.0
2026-01-10,Saturday,1,15,16,Trabalhador,Cappuccino Italiano,14.0,Bolo Red Velvet,15.0,Delivery,Crédito,29.0
2026-01-10,Saturday,1,16,90,Ocasional,Latte Baunilha,16.0,Cookie Artesanal,9.0,Balcão,Débito,25.0
2026-01-10,Saturday,1,10,36,Trabalhador,Chá Orgânico,12.0,Torta de Limão Siciliano,16.0,Balcão,Crédito,28.0
2026-01-10,Saturday,1,18,171,Ocasional,Chá Orgânico,12.0,Croissant Francês,13.0,Balcão,Débito,25.0
2026-01-10,Saturday,1,12,284,Trabalhador,Chá Orgânico,12.0,Torta de Limão Siciliano,16.0,Delivery,Pix,28.0
2026-01-10,Saturday,1,8,206,Ocasional,Cappuccino Italiano,14.0,Cookie Artesanal,9.0,Balcão,Pix,23.0
2026-01-10,Saturday,1,7,290,Fim de Semana,Mocha Belga,18.0,Sanduíche Caprese,19.0,Balcão,Débito,37.0
2026-01-10,Saturday,1,8,84,Trabalhador,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Balcão,Crédito,36.0
2026-01-10,Saturday,1,16,21,Fim de Semana,Chá Orgânico,12.0,Quiche de Alho Poró,18.0,Balcão,Pix,30.0
2026-01-10,Saturday,1,9,257,Fim de Semana,Chá Orgânico,12.0,Sanduíche Caprese,19.0,Balcão,Crédito,31.0
2026-01-10,Saturday,1,12,211,Trabalhador,Chá Orgânico,12.0,Bolo Red Velvet,15.0,Balcão,Crédito,27.0
2026-01-10,Saturday,1,14,138,Ocasional,Mocha Belga,18.0,Quiche de Alho Poró,18.0,Delivery,Crédito,36.0
2026-01-10,Saturday,1,7,22,Fim de Semana,Espresso Premium,9.5,Cookie Artesanal,9.0,Delivery,Pix,18.5
2026-01-10,Saturday,1,17,109,Trabalhador,Cold Brew Especial,17.0,Cookie Artesanal,9.0,Delivery,Pix,26.0
2026-01-10,Saturday,1,18,180,Ocasional,Cappuccino Italiano,14.0,Croissant Francês,13.0,Balcão,Pix,27.0
2026-01-10,Saturday,1,17,158,Fim de Semana,Cappuccino Italiano,14.0,Croissant Francês,13.0,Delivery,Débito,27.0
2026-01-10,Saturday,1,12,269,Trabalhador,Cappuccino Italiano,14.0,Croissant Francês,13.0,Delivery,Débito,27.0
2026-01-10,Saturday,1,8,21,Fim de Semana,Mocha Belga,18.0,Sanduíche Caprese,19.0,Balcão,Pix,37.0
2026-01-10,Saturday,1,10,166,Fim de Semana,Latte Baunilha,16.0,Croissant Francês,13.0,Delivery,Crédito,29.0
2026-01-10,Saturday,1,14,274,Ocasional,Chá Orgânico,12.0,Cookie Artesanal,9.0,Balcão,Crédito,21.0
2026-01-10,Saturday,1,12,12,Ocasional,Cold Brew Especial,17.0,Croissant Francês,13.0,Balcão,Débito,30.0
2026-01-10,Saturday,1,20,212,Ocasional,Chá Orgânico,12.0,Croissant Francês,13.0,Delivery,Crédito,25.0
2026-01-10,Saturday,1,13,20,Trabalhador,Mocha Belga,18.0,Cookie Artesanal,9.0,Balcão,Crédito,27.0
2026-01-10,Saturday,1,19,125,Fim de Semana,Mocha Belga,18.0,Sanduíche Caprese,19.0,Delivery,Crédito,37.0
2026-01-10,Saturday,1,8,29,Ocasional,Mocha Belga,18.0,Bolo Red Velvet,15.0,Balcão,Crédito,33.0
2026-01-10,Saturday,1,8,104,Trabalhador,Mocha Belga,18.0,Torta de Limão Siciliano,16.0,Delivery,Pix,34.0
2026-01-11,Sunday,1,15,229,Fim de Semana,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Balcão,Pix,32.0
2026-01-11,Sunday,1,8,122,Fim de Semana,Espresso Premium,9.5,Cookie Artesanal,9.0,Delivery,Pix,18.5
2026-01-11,Sunday,1,10,245,Ocasional,Latte Baunilha,16.0,Sanduíche Caprese,19.0,Balcão,Pix,35.0
2026-01-11,Sunday,1,19,141,Fim de Semana,Chá Orgânico,12.0,Sanduíche Caprese,19.0,Delivery,Pix,31.0
2026-01-11,Sunday,1,13,142,Fim de Semana,Latte Baunilha,16.0,Cookie Artesanal,9.0,Delivery,Crédito,25.0
2026-01-11,Sunday,1,12,36,Fim de Semana,Espresso Premium,9.5,Bolo Red Velvet,15.0,Balcão,Débito,24.5
2026-01-11,Sunday,1,18,89,Trabalhador,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Delivery,Débito,36.0
2026-01-11,Sunday,1,12,95,Ocasional,Mocha Belga,18.0,Croissant Francês,13.0,Balcão,Pix,31.0
2026-01-11,Sunday,1,9,90,Fim de Semana,Latte Baunilha,16.0,Sanduíche Caprese,19.0,Balcão,Crédito,35.0
2026-01-11,Sunday,1,13,238,Ocasional,Cold Brew Especial,17.0,Croissant Francês,13.0,Balcão,Crédito,30.0
2026-01-11,Sunday,1,19,106,Trabalhador,Mocha Belga,18.0,Croissant Francês,13.0,Delivery,Pix,31.0
2026-01-11,Sunday,1,11,116,Fim de Semana,Latte Baunilha,16.0,Sanduíche Caprese,19.0,Balcão,Débito,35.0
2026-01-11,Sunday,1,15,197,Trabalhador,Espresso Premium,9.5,Quiche de Alho Poró,18.0,Delivery,Crédito,27.5
2026-01-11,Sunday,1,8,39,Trabalhador,Cappuccino Italiano,14.0,Croissant Francês,13.0,Balcão,Débito,27.0
2026-01-11,Sunday,1,19,211,Trabalhador,Latte Baunilha,16.0,Cookie Artesanal,9.0,Delivery,Crédito,25.0
2026-01-11,Sunday,1,15,62,Trabalhador,Cold Brew Especial,17.0,Quiche de Alho Poró,18.0,Balcão,Pix,35.0
2026-01-11,Sunday,1,17,7,Fim de Semana,Mocha Belga,18.0,Cookie Artesanal,9.0,Balcão,Pix,27.0
2026-01-11,Sunday,1,14,184,Ocasional,Espresso Premium,9.5,Croissant Francês,13.0,Delivery,Crédito,22.5
2026-01-11,Sunday,1,9,179,Ocasional,Mocha Belga,18.0,Sanduíche Caprese,19.0,Delivery,Débito,37.0
2026-01-11,Sunday,1,10,85,Trabalhador,Chá Orgânico,12.0,Quiche de Alho Poró,18.0,Delivery,Débito,30.0
2026-01-11,Sunday,1,18,144,Fim de Semana,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Balcão,Pix,33.0
2026-01-11,Sunday,1,18,152,Ocasional,Latte Baunilha,16.0,Sanduíche Caprese,19.0,Delivery,Pix,35.0
2026-01-11,Sunday,1,17,22,Ocasional,Mocha Belga,18.0,Quiche de Alho Poró,18.0,Delivery,Crédito,36.0
2026-01-11,Sunday,1,13,163,Trabalhador,Mocha Belga,18.0,Torta de Limão Siciliano,16.0,Balcão,Débito,34.0
2026-01-11,Sunday,1,15,6,Fim de Semana,Cappuccino Italiano,14.0,Torta de Limão Siciliano,16.0,Delivery,Crédito,30.0
2026-01-11,Sunday,1,12,171,Fim de Semana,Mocha Belga,18.0,Cookie Artesanal,9.0,Balcão,Crédito,27.0
2026-01-11,Sunday,1,7,99,Fim de Semana,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Balcão,Crédito,33.0
2026-01-11,Sunday,1,11,94,Trabalhador,Cold Brew Especial,17.0,Bolo Red Velvet,15.0,Balcão,Crédito,32.0
2026-01-11,Sunday,1,8,207,Fim de Semana,Cold Brew Especial,17.0,Cookie Artesanal,9.0,Delivery,Débito,26.0
2026-01-11,Sunday,1,15,20,Trabalhador,Latte Baunilha,16.0,Cookie Artesanal,9.0,Balcão,Crédito,25.0
2026-01-11,Sunday,1,13,260,Trabalhador,Chá Orgânico,12.0,Croissant Francês,13.0,Balcão,Débito,25.0
2026-01-11,Sunday,1,9,270,Trabalhador,Mocha Belga,18.0,Croissant Francês,13.0,Balcão,Débito,31.0
2026-01-11,Sunday,1,16,21,Trabalhador,Chá Orgânico,12.0,Sanduíche Caprese,19.0,Delivery,Débito,31.0
2026-01-11,Sunday,1,8,69,Fim de Semana,Cold Brew Especial,17.0,Bolo Red Velvet,15.0,Delivery,Débito,32.0
2026-01-11,Sunday,1,17,94,Trabalhador,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Delivery,Débito,36.0
2026-01-11,Sunday,1,13,240,Trabalhador,Mocha Belga,18.0,Croissant Francês,13.0,Balcão,Pix,31.0
2026-01-11,Sunday,1,7,179,Ocasional,Espresso Premium,9.5,Croissant Francês,13.0,Delivery,Crédito,22.5
2026-01-11,Sunday,1,11,76,Ocasional,Cold Brew Especial,17.0,Bolo Red Velvet,15.0,Delivery,Pix,32.0
2026-01-11,Sunday,1,20,19,Ocasional,Cappuccino Italiano,14.0,Torta de Limão Siciliano,16.0,Delivery,Pix,30.0
2026-01-11,Sunday,1,12,91,Fim de Semana,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Balcão,Pix,33.0
2026-01-11,Sunday,1,8,113,Trabalhador,Mocha Belga,18.0,Sanduíche Caprese,19.0,Balcão,Pix,37.0
2026-01-11,Sunday,1,17,180,Ocasional,Cappuccino Italiano,14.0,Croissant Francês,13.0,Delivery,Crédito,27.0
2026-01-11,Sunday,1,7,109,Ocasional,Mocha Belga,18.0,Bolo Red Velvet,15.0,Delivery,Crédito,33.0
2026-01-11,Sunday,1,7,224,Trabalhador,Latte Baunilha,16.0,Cookie Artesanal,9.0,Balcão,Débito,25.0
2026-01-11,Sunday,1,18,137,Trabalhador,Espresso Premium,9.5,Torta de Limão Siciliano,16.0,Balcão,Débito,25.5
2026-01-11,Sunday,1,9,99,Trabalhador,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Balcão,Pix,33.0
2026-01-11,Sunday,1,13,190,Trabalhador,Chá Orgânico,12.0,Quiche de Alho Poró,18.0,Delivery,Pix,30.0
2026-01-11,Sunday,1,17,67,Ocasional,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Balcão,Débito,32.0
2026-01-11,Sunday,1,13,229,Fim de Semana,Cappuccino Italiano,14.0,Cookie Artesanal,9.0,Balcão,Crédito,23.0
2026-01-11,Sunday,1,7,129,Trabalhador,Latte Baunilha,16.0,Sanduíche Caprese,19.0,Balcão,Crédito,35.0
2026-01-11,Sunday,1,12,7,Fim de Semana,Latte Baunilha,16.0,Cookie Artesanal,9.0,Delivery,Débito,25.0
2026-01-11,Sunday,1,7,234,Ocasional,Latte Baunilha,16.0,Sanduíche Caprese,19.0,Balcão,Pix,35.0
2026-01-11,Sunday,1,16,54,Trabalhador,Espresso Premium,9.5,Croissant Francês,13.0,Delivery,Pix,22.5
2026-01-11,Sunday,1,13,167,Trabalhador,Mocha Belga,18.0,Sanduíche Caprese,19.0,Balcão,Pix,37.0
2026-01-11,Sunday,1,10,72,Ocasional,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Delivery,Débito,33.0
2026-01-11,Sunday,1,10,190,Ocasional,Mocha Belga,18.0,Croissant Francês,13.0,Delivery,Pix,31.0
2026-01-11,Sunday,1,15,93,Ocasional,Espresso Premium,9.5,Torta de Limão Siciliano,16.0,Delivery,Pix,25.5
2026-01-11,Sunday,1,13,64,Trabalhador,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Delivery,Crédito,33.0
2026-01-11,Sunday,1,9,128,Ocasional,Mocha Belga,18.0,Quiche de Alho Poró,18.0,Balcão,Débito,36.0
2026-01-11,Sunday,1,8,208,Ocasional,Chá Orgânico,12.0,Quiche de Alho Poró,18.0,Delivery,Débito,30.0
2026-01-11,Sunday,1,16,16,Trabalhador,Latte Baunilha,16.0,Torta de Limão Siciliano,16.0,Delivery,Débito,32.0
2026-01-11,Sunday,1,16,53,Ocasional,Espresso Premium,9.5,Quiche de Alho Poró,18.0,Balcão,Débito,27.5
2026-01-11,Sunday,1,18,165,Ocasional,Latte Baunilha,16.0,Quiche de Alho Poró,18.0,Balcão,Débito,34.0
2026-01-11,Sunday,1,8,198,Trabalhador,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Delivery,Débito,32.0
2026-01-11,Sunday,1,20,193,Fim de Semana,Cold Brew Especial,17.0,Cookie Artesanal,9.0,Delivery,Pix,26.0
2026-01-11,Sunday,1,16,165,Trabalhador,Cappuccino Italiano,14.0,Croissant Francês,13.0,Delivery,Pix,27.0
2026-01-11,Sunday,1,10,254,Ocasional,Latte Baunilha,16.0,Bolo Red Velvet,15.0,Balcão,Pix,31.0
2026-01-11,Sunday,1,10,168,Trabalhador,Latte Baunilha,16.0,Cookie Artesanal,9.0,Balcão,Pix,25.0
2026-01-11,Sunday,1,15,139,Trabalhador,Latte Baunilha,16.0,Croissant Francês,13.0,Balcão,Crédito,29.0
2026-01-11,Sunday,1,16,266,Trabalhador,Mocha Belga,18.0,Croissant Francês,13.0,Delivery,Crédito,31.0
2026-01-11,Sunday,1,9,87,Fim de Semana,Mocha Belga,18.0,Torta de Limão Siciliano,16.0,Delivery,Pix,34.0
2026-01-11,Sunday,1,20,274,Trabalhador,Mocha Belga,18.0,Sanduíche Caprese,19.0,Balcão,Débito,37.0
2026-01-12,Monday,0,9,293,Fim de Semana,Mocha Belga,18.0,Bolo Red Velvet,15.0,Delivery,Débito,33.0
2026-01-12,Monday,0,13,157,Ocasional,Espresso Premium,9.5,Bolo Red Velvet,15.0,Balcão,Crédito,24.5
2026-01-12,Monday,0,12,159,Fim de Semana,Cappuccino Italiano,14.0,Croissant Francês,13.0,Delivery,Pix,27.0
2026-01-12,Monday,0,20,130,Fim de Semana,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Delivery,Crédito,36.0
2026-01-12,Monday,0,8,122,Fim de Semana,Mocha Belga,18.0,Bolo Red Velvet,15.0,Balcão,Crédito,33.0
2026-01-12,Monday,0,14,66,Ocasional,Espresso Premium,9.5,Bolo Red Velvet,15.0,Balcão,Pix,24.5
2026-01-12,Monday,0,10,188,Trabalhador,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Delivery,Crédito,36.0
2026-01-12,Monday,0,16,104,Trabalhador,Latte Baunilha,16.0,Sanduíche Caprese,19.0,Delivery,Crédito,35.0
2026-01-12,Monday,0,9,209,Trabalhador,Mocha Belga,18.0,Cookie Artesanal,9.0,Balcão,Crédito,27.0
2026-01-12,Monday,0,9,285,Ocasional,Latte Baunilha,16.0,Cookie Artesanal,9.0,Balcão,Débito,25.0
2026-01-12,Monday,0,8,58,Trabalhador,Chá Orgânico,12.0,Bolo Red Velvet,15.0,Balcão,Débito,27.0
2026-01-12,Monday,0,10,269,Ocasional,Cappuccino Italiano,14.0,Cookie Artesanal,9.0,Delivery,Crédito,23.0
2026-01-12,Monday,0,7,131,Fim de Semana,Cappuccino Italiano,14.0,Croissant Francês,13.0,Balcão,Crédito,27.0
2026-01-12,Monday,0,16,172,Fim de Semana,Cold Brew Especial,17.0,Bolo Red Velvet,15.0,Delivery,Pix,32.0
2026-01-12,Monday,0,12,177,Ocasional,Mocha Belga,18.0,Cookie Artesanal,9.0,Delivery,Crédito,27.0
2026-01-12,Monday,0,12,114,Ocasional,Cappuccino Italiano,14.0,Cookie Artesanal,9.0,Delivery,Crédito,23.0
2026-01-12,Monday,0,7,254,Trabalhador,Latte Baunilha,16.0,Bolo Red Velvet,15.0,Balcão,Crédito,31.0
2026-01-12,Monday,0,10,168,Trabalhador,Mocha Belga,18.0,Cookie Artesanal,9.0,Delivery,Débito,27.0
2026-01-12,Monday,0,17,291,Fim de Semana,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Balcão,Crédito,33.0
2026-01-12,Monday,0,16,44,Trabalhador,Chá Orgânico,12.0,Torta de Limão Siciliano,16.0,Balcão,Pix,28.0
2026-01-12,Monday,0,20,299,Fim de Semana,Latte Baunilha,16.0,Torta de Limão Siciliano,16.0,Delivery,Crédito,32.0
2026-01-12,Monday,0,17,226,Fim de Semana,Mocha Belga,18.0,Croissant Francês,13.0,Balcão,Débito,31.0
2026-01-12,Monday,0,10,22,Fim de Semana,Latte Baunilha,16.0,Cookie Artesanal,9.0,Delivery,Pix,25.0
2026-01-12,Monday,0,9,297,Fim de Semana,Mocha Belga,18.0,Bolo Red Velvet,15.0,Balcão,Pix,33.0
2026-01-12,Monday,0,12,134,Trabalhador,Chá Orgânico,12.0,Croissant Francês,13.0,Balcão,Crédito,25.0
2026-01-12,Monday,0,12,122,Fim de Semana,Espresso Premium,9.5,Croissant Francês,13.0,Delivery,Crédito,22.5
2026-01-12,Monday,0,12,122,Ocasional,Chá Orgânico,12.0,Sanduíche Caprese,19.0,Delivery,Débito,31.0
2026-01-12,Monday,0,13,4,Trabalhador,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Delivery,Débito,36.0
2026-01-12,Monday,0,11,236,Fim de Semana,Cappuccino Italiano,14.0,Torta de Limão Siciliano,16.0,Delivery,Crédito,30.0
2026-01-12,Monday,0,20,238,Ocasional,Cappuccino Italiano,14.0,Cookie Artesanal,9.0,Delivery,Crédito,23.0
2026-01-12,Monday,0,20,18,Trabalhador,Espresso Premium,9.5,Croissant Francês,13.0,Balcão,Pix,22.5
2026-01-12,Monday,0,10,92,Ocasional,Chá Orgânico,12.0,Sanduíche Caprese,19.0,Balcão,Crédito,31.0
2026-01-12,Monday,0,9,144,Trabalhador,Latte Baunilha,16.0,Croissant Francês,13.0,Balcão,Débito,29.0
2026-01-12,Monday,0,9,181,Ocasional,Espresso Premium,9.5,Croissant Francês,13.0,Balcão,Crédito,22.5
2026-01-12,Monday,0,14,189,Ocasional,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Delivery,Crédito,33.0
2026-01-12,Monday,0,10,167,Ocasional,Cold Brew Especial,17.0,Bolo Red Velvet,15.0,Balcão,Débito,32.0
2026-01-12,Monday,0,10,1,Ocasional,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Balcão,Débito,33.0
2026-01-12,Monday,0,9,2,Trabalhador,Mocha Belga,18.0,Croissant Francês,13.0,Balcão,Pix,31.0
2026-01-12,Monday,0,7,174,Trabalhador,Mocha Belga,18.0,Bolo Red Velvet,15.0,Delivery,Crédito,33.0
2026-01-12,Monday,0,11,83,Trabalhador,Cappuccino Italiano,14.0,Torta de Limão Siciliano,16.0,Balcão,Crédito,30.0
2026-01-12,Monday,0,12,36,Fim de Semana,Cappuccino Italiano,14.0,Croissant Francês,13.0,Balcão,Crédito,27.0
2026-01-12,Monday,0,7,155,Fim de Semana,Cold Brew Especial,17.0,Bolo Red Velvet,15.0,Balcão,Pix,32.0
2026-01-12,Monday,0,13,165,Ocasional,Cold Brew Especial,17.0,Bolo Red Velvet,15.0,Delivery,Débito,32.0
2026-01-12,Monday,0,12,169,Fim de Semana,Cappuccino Italiano,14.0,Torta de Limão Siciliano,16.0,Delivery,Crédito,30.0
2026-01-12,Monday,0,14,174,Trabalhador,Mocha Belga,18.0,Croissant Francês,13.0,Delivery,Crédito,31.0
2026-01-12,Monday,0,7,207,Fim de Semana,Latte Baunilha,16.0,Croissant Francês,13.0,Delivery,Crédito,29.0
2026-01-12,Monday,0,7,156,Ocasional,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Delivery,Débito,33.0
2026-01-12,Monday,0,16,24,Fim de Semana,Espresso Premium,9.5,Torta de Limão Siciliano,16.0,Balcão,Débito,25.5
2026-01-12,Monday,0,7,160,Ocasional,Cappuccino Italiano,14.0,Bolo Red Velvet,15.0,Delivery,Pix,29.0
